0,0
46.1, 88
164.5, 67
55.8, 71
148.6, 85
61.7, 96
45.5, 145
66.4, 89
59.5, 13
22.6, 15
52.7, 70
94.1, 72
22.9, 84
17.5, 14
33.1, 4
46.8, 91
96.6, 70
98.4, 64
24.3, 33
58.5, 52
5.1, 84
48.4, 46
42.9, 24
72.0, 46
53.7, 95
35.7, 46
2.6, 93
50.8, 17
2.1, 43
18.2, 24
34.5, 47
58.3, 17
2.7, 90
65.1, 73
26.8, 44
72.1, 25
1.6, 38
61.4, 46
89.4, 72
47.6, 31
86.9, 32
11.1, 73
27.9, 58
51.6, 89
28.0, 31
60.4, 18
58.4, 76
45.5, 99
81.8, 31
48.1, 19
67.4, 23
54.4, 6
35.2, 80
63.4, 14
85.8, 9
4.9, 99
23.5, 80
96.0, 35
22.0, 55
94.9, 26
27.1, 49
73.0, 57
12.4, 48
43.7, 81
35.9, 97
83.0, 26
49.5, 30
75.7, 33
37.1, 42
66.5, 4
38.8, 16
